testype	name1	name2	ceiling1	floor1	ceiling2	floor2	meandate1	meandate2	acc1	acc2	alienacc1	alienacc2	spearman	spear1on2	spear2on1	loss	loss1on2	loss2on1
crossAB	SubjMan-woman_randomA	SubjHistory_randomB					1976.62	1927.825	0.755	0.82	0.415	0.415	-0.630116715	-0.611944789603	-0.648288640397	0.3725	0.405	0.34
self1	SubjMan-woman_randomA	SubjMan-woman_randomB					1976.62	1976.62	0.755	0.785	0.84	0.83	1.05572913047	1.04471203477	1.06674622617	-0.065	-0.045	-0.085
crossBA	SubjMan-woman_randomB	SubjHistory_randomA					1976.62	1928.295	0.785	0.79	0.405	0.44	-0.545448293326	-0.488171309542	-0.602725277111	0.365	0.35	0.38
self2	SubjHistory_randomA	SubjHistory_randomB					1928.295	1927.825	0.79	0.82	0.85	0.885	1.24250779798	1.29148125477	1.1935343412	-0.0625	-0.065	-0.06
crossAB	SubjMan-woman_randomA	SubjShortstoriesOther_randomB					1976.62	1974.32	0.755	0.78	0.41	0.405	-0.26313148038	-0.184951492309	-0.341311468451	0.36	0.375	0.345
self1	SubjMan-woman_randomA	SubjMan-woman_randomB					1976.62	1976.62	0.755	0.785	0.84	0.83	1.05572913047	1.04471203477	1.06674622617	-0.065	-0.045	-0.085
crossBA	SubjMan-woman_randomB	SubjShortstoriesOther_randomA					1976.62	1974.585	0.785	0.78	0.385	0.405	-0.466767765135	-0.450785001407	-0.482750528862	0.3875	0.375	0.4
self2	SubjShortstoriesOther_randomA	SubjShortstoriesOther_randomB					1974.585	1974.32	0.78	0.78	0.825	0.82	1.21893698536	1.22771083363	1.21016313709	-0.0425	-0.04	-0.045
crossAB	SubjMan-woman_randomA	SubjSFAmerican_randomB					1976.62	1981.345	0.755	0.92	0.455	0.385	-0.293869468163	-0.372290313177	-0.215448623149	0.4175	0.535	0.3
self1	SubjMan-woman_randomA	SubjMan-woman_randomB					1976.62	1976.62	0.755	0.785	0.84	0.83	1.05572913047	1.04471203477	1.06674622617	-0.065	-0.045	-0.085
crossBA	SubjMan-woman_randomB	SubjSFAmerican_randomA					1976.62	1982.785	0.785	0.9	0.47	0.46	-0.0129608527521	-0.0565185144962	0.030596808992	0.3775	0.44	0.315
self2	SubjSFAmerican_randomA	SubjSFAmerican_randomB					1982.785	1981.345	0.9	0.92	0.885	0.945	1.37977533051	1.38713092113	1.37241973989	-0.005	-0.025	0.015
crossAB	SubjMan-woman-Not-SubjFantasy_randomA	SubjFantasy-Not-SubjMan-woman_randomB					1976.58	1982.445	0.785	0.835	0.44	0.445	-0.195580547909	-0.319990396286	-0.0711706995313	0.3675	0.39	0.345
self1	SubjMan-woman-Not-SubjFantasy_randomA	SubjMan-woman-Not-SubjFantasy_randomB					1976.58	1976.39	0.785	0.785	0.885	0.895	1.10884055515	1.03150155468	1.18617955563	-0.105	-0.11	-0.1
crossBA	SubjMan-woman-Not-SubjFantasy_randomB	SubjFantasy-Not-SubjMan-woman_randomA					1976.39	1983.71	0.785	0.855	0.42	0.41	-0.237083766103	-0.170972412253	-0.303195119953	0.405	0.445	0.365
self2	SubjFantasy-Not-SubjMan-woman_randomA	SubjFantasy-Not-SubjMan-woman_randomB					1983.71	1982.445	0.855	0.835	0.88	0.895	1.18945372398	1.12857723942	1.25033020853	-0.0425	-0.06	-0.025
crossAB	SubjSFOther_randomA	Biographical_randomB					1970.34	1988.595	0.915	0.805	0.44	0.475	-0.0404793331562	0.132431599444	-0.213390265756	0.4025	0.33	0.475
self1	SubjSFOther_randomA	SubjSFOther_randomB					1970.34	1970.695	0.915	0.92	0.92	0.94	1.77590417939	1.81155077269	1.74025758609	-0.0125	-0.02	-0.005
crossBA	SubjSFOther_randomB	Biographical_randomA					1970.695	1988.58	0.92	0.805	0.425	0.49	-0.138148698465	0.07129131244	-0.347588709371	0.405	0.315	0.495
self2	Biographical_randomA	Biographical_randomB					1988.58	1988.595	0.805	0.805	0.875	0.865	1.20062209035	1.13418233905	1.26706184164	-0.065	-0.06	-0.07
crossAB	SubjSFOther_randomA	Suspense_randomB					1970.34	2003.055	0.915	0.835	0.62	0.52	0.460466132014	0.44198310152	0.478949162509	0.305	0.315	0.295
self1	SubjSFOther_randomA	SubjSFOther_randomB					1970.34	1970.695	0.915	0.92	0.92	0.94	1.77590417939	1.81155077269	1.74025758609	-0.0125	-0.02	-0.005
crossBA	SubjSFOther_randomB	Suspense_randomA					1970.695	2003.12	0.92	0.81	0.69	0.555	0.571613260244	0.503128009421	0.640098511067	0.2425	0.255	0.23
self2	Suspense_randomA	Suspense_randomB					2003.12	2003.055	0.81	0.835	0.895	0.92	1.48448913955	1.52148859958	1.44748967953	-0.085	-0.085	-0.085
crossAB	SubjSFOther_randomA	Fantasy_randomB					1970.34	1995.81	0.915	0.865	0.84	0.735	1.2208691921	1.18164527374	1.26009311046	0.1025	0.13	0.075
self1	SubjSFOther_randomA	SubjSFOther_randomB					1970.34	1970.695	0.915	0.92	0.92	0.94	1.77590417939	1.81155077269	1.74025758609	-0.0125	-0.02	-0.005
crossBA	SubjSFOther_randomB	Fantasy_randomA					1970.695	1995.69	0.92	0.865	0.835	0.775	1.11346520203	1.07491099476	1.1520194093	0.0875	0.09	0.085
self2	Fantasy_randomA	Fantasy_randomB					1995.69	1995.81	0.865	0.865	0.92	0.94	1.42098926621	1.43357949264	1.40839903977	-0.065	-0.075	-0.055
crossAB	SubjSFOther_randomA	Adventure_randomB					1970.34	1982.27	0.915	0.83	0.745	0.62	0.740015392929	0.747128675298	0.732902110561	0.19	0.21	0.17
self1	SubjSFOther_randomA	SubjSFOther_randomB					1970.34	1970.695	0.915	0.92	0.92	0.94	1.77590417939	1.81155077269	1.74025758609	-0.0125	-0.02	-0.005
crossBA	SubjSFOther_randomB	Adventure_randomA					1970.695	1982.44	0.92	0.755	0.81	0.655	1.01114826607	0.957579115085	1.06471741706	0.105	0.1	0.11
self2	Adventure_randomA	Adventure_randomB					1982.44	1982.27	0.755	0.83	0.845	0.89	1.33943967772	1.46500319697	1.21387615847	-0.075	-0.06	-0.09
