testype	name1	name2	ceiling1	floor1	ceiling2	floor2	meandate1	meandate2	acc1	acc2	alienacc1	alienacc2	spearman	spear1on2	spear2on1	loss	loss1on2	loss2on1
self2	HumorB_randomA	HumorB_randomB					1993.395	1995.68	0.81	0.825	0.815	0.865	1.2004800268	1.17518305846	1.22577699514	-0.0225	-0.04	-0.005
crossAB	SF_randomA	SFB_randomB					1987.39	1987.75	0.885	0.865	0.825	0.825	1.47202693699	1.45075415805	1.49329971594	0.05	0.04	0.06
self1	SF_randomA	SF_randomB					1987.39	1987.275	0.885	0.9	0.935	0.94	1.88016709537	1.86682414498	1.89351004576	-0.045	-0.04	-0.05
crossBA	SF_randomB	SFB_randomA					1987.275	1988.73	0.9	0.89	0.86	0.85	1.45354880147	1.44170461321	1.46539298972	0.04	0.04	0.04
self2	SFB_randomA	SFB_randomB					1988.73	1987.75	0.89	0.865	0.955	0.92	1.47746120357	1.38470757609	1.57021483105	-0.06	-0.055	-0.065
crossAB	Historical_randomA	HistoricalB_randomB					1985.69	1986.315	0.76	0.79	0.735	0.775	0.84293108001	0.808230961765	0.877631198256	0.02	0.015	0.025
self1	Historical_randomA	Historical_randomB					1985.69	1985.725	0.76	0.765	0.86	0.83	1.06525156132	0.948929396276	1.18157372636	-0.0825	-0.065	-0.1
crossBA	Historical_randomB	HistoricalB_randomA					1985.725	1986.32	0.765	0.79	0.695	0.77	0.96110080926	0.941009871391	0.98119174713	0.045	0.02	0.07
self2	HistoricalB_randomA	HistoricalB_randomB					1986.32	1986.315	0.79	0.79	0.915	0.855	1.05173369904	1.0861779212	1.01728947689	-0.095	-0.065	-0.125
crossAB	SubjDetective_randomA	SubjDetectiveB_randomB					1978.085	1970.625	0.875	0.895	0.835	0.89	1.6096109473	1.6140486803	1.60517321429	0.0225	0.005	0.04
self1	SubjDetective_randomA	SubjDetective_randomB					1978.085	1978.355	0.875	0.915	0.865	0.96	1.64382159825	1.66187100544	1.62577219105	-0.0175	-0.045	0.01
crossBA	SubjDetective_randomB	SubjDetectiveB_randomA					1978.355	1970.6	0.915	0.905	0.87	0.885	1.53213492917	1.58919296031	1.47507689803	0.0325	0.02	0.045
self2	SubjDetectiveB_randomA	SubjDetectiveB_randomB					1970.6	1970.625	0.905	0.895	0.92	0.905	1.54691503874	1.40988724637	1.68394283111	-0.0125	-0.01	-0.015
crossAB	Domestic_randomA	DomesticB_randomB					1994.725	1990.04	0.715	0.685	0.695	0.73	1.01382876963	0.977743220504	1.04991431876	-0.0125	-0.045	0.02
self1	Domestic_randomA	Domestic_randomB					1994.725	1994.69	0.715	0.72	0.805	0.83	1.09074914581	1.06065167343	1.12084661818	-0.1	-0.11	-0.09
crossBA	Domestic_randomB	DomesticB_randomA					1994.69	1990.23	0.72	0.695	0.725	0.68	0.873243749305	0.883564828125	0.862922670484	0.005	0.015	-0.005
self2	DomesticB_randomA	DomesticB_randomB					1990.23	1990.04	0.695	0.685	0.81	0.835	0.997307714689	0.976970107257	1.01764532212	-0.1325	-0.15	-0.115
crossAB	Juvenile_randomA	JuvenileB_randomB					1892.295	1891.46	0.81	0.8	0.74	0.76	0.908408857611	0.938604347306	0.878213367916	0.055	0.04	0.07
self1	Juvenile_randomA	Juvenile_randomB					1892.295	1892.49	0.81	0.81	0.87	0.91	1.18767191376	1.17019167943	1.2051521481	-0.08	-0.1	-0.06
crossBA	Juvenile_randomB	JuvenileB_randomA					1892.49	1891.555	0.81	0.815	0.775	0.825	1.17173084395	1.19131506094	1.15214662695	0.0125	-0.01	0.035
self2	JuvenileB_randomA	JuvenileB_randomB					1891.555	1891.46	0.815	0.8	0.94	0.885	1.16698597202	1.16970508367	1.16426686036	-0.105	-0.085	-0.125
crossAB	SubjJuvenile_randomA	SubjJuvenileB_randomB					1910.43	1914.855	0.835	0.805	0.795	0.825	1.21015353585	1.24512401323	1.17518305846	0.01	-0.02	0.04
self1	SubjJuvenile_randomA	SubjJuvenile_randomB					1910.43	1910.375	0.835	0.83	0.865	0.925	1.63980377352	1.54494951658	1.73465803045	-0.0625	-0.095	-0.03
crossBA	SubjJuvenile_randomB	SubjJuvenileB_randomA					1910.375	1914.47	0.83	0.86	0.85	0.845	1.35141570085	1.4840529167	1.218778485	-0.0025	0.015	-0.02
self2	SubjJuvenileB_randomA	SubjJuvenileB_randomB					1914.47	1914.855	0.86	0.805	0.935	0.91	1.47078729077	1.46901550601	1.47255907552	-0.09	-0.105	-0.075
crossAB	Shortstories_randomA	ShortstoriesB_randomB					1986.255	1988.615	0.67	0.7	0.68	0.665	0.719931510148	0.757363676957	0.682499343339	0.0125	0.035	-0.01
self1	Shortstories_randomA	Shortstories_randomB					1986.255	1987.18	0.67	0.655	0.73	0.775	0.743562677898	0.585651157223	0.901474198573	-0.09	-0.12	-0.06
crossBA	Shortstories_randomB	ShortstoriesB_randomA					1987.18	1988.535	0.655	0.68	0.66	0.63	0.626306807967	0.633484664405	0.619128951528	0.0225	0.05	-0.005
self2	ShortstoriesB_randomA	ShortstoriesB_randomB					1988.535	1988.615	0.68	0.7	0.795	0.825	0.609927902393	0.570610369355	0.649245435432	-0.12	-0.125	-0.115
crossAB	Bildungsroman_randomA	BildungsromanB_randomB					1977.335	1989.33	0.705	0.74	0.645	0.735	0.792130165299	0.846921441897	0.737338888701	0.0325	0.005	0.06
